id,term,definition
card37,What is material non-disclosure in professional liability insurance?,"Failing to reveal relevant information (e.g., a prior negligence claim) when purchasing Errors & Omissions (E&O) coverage. Such nondisclosure is ""material"" because it influences the insurer's decision—omitting it can void the policy."
card38,Retention period for authenticated drawings,"Keep them for as long as liability exists (e.g., 10 yrs BC, 12 yrs AB) as a due-diligence defence."
card39,Improving communication skills after email mishap,Clarity and completeness in digital instructions.
card40,Lacking expertise on Indigenous-rights impacts in an EA,Continue only by engaging a specialist with that expertise (Engineers Canada SD Guideline §4).
card41,Environmental costs in economic viability studies,Environmental protection is an integral part of project planning; associated costs must be included (APEGA Env. Guideline §3.5).
card42,What does the Engineers Canada Code of Ethics “mentoring clause” require supervisors to provide?,Opportunities for the professional development of the people they supervise.
card43,Code-of-Ethics: three permissible responses to employer actions risking public welfare,(1) Correct the problem (2) Whistle-blow (3) Resign in protest.
card44,What is the collegial (Theory Y) management style?,"Staff are trusted to work independently within agreed guidelines; the manager treats them as peers rather than micromanaging them.
Collegial (adj): cooperative, treating colleagues as equals."
card45,2015 UN climate accord that caps global warming - what is it called?,"Paris Agreement• Adopted under the UNFCCC in December 2015 to limit warming to well below 2 °C above pre-industrial levels, aiming for 1.5 °C.
Accord (noun): a formal agreement between parties."
card46,"Single best defence against a negligence lawsuit.
(A negligence lawsuit is when someone takes another person to court because they got hurt or suffered damage due to the other person not being careful enough. Imagine a grocery store didn’t clean up a spill for hours.
You walk in, slip on it, and break your arm.
The store was supposed to keep the floors safe and clean.
Since they didn’t, that’s called negligence.
You could file a lawsuit asking for money to cover your medical bills.
That’s a negligence lawsuit.)","Produce careful, thorough, accurate work (quality first). Insurance only mitigates losses after the fact.
(Because quality work prevents negligence from occurring. Insurance can’t stop a lawsuit—it only helps cover losses afterward.)"
card47,"Posting false, damaging statements online about a competitor",Constitutes libel → an actionable tort claim; internet posts are fully enforceable.
card48,E&O vs. CGL in one line,E&O = professional mistakes.
card49,Network-security question,Which tool lets me filter incoming & outgoing internet traffic to block unauthorised connections for my team? Firewall software.
card50,Whistle-blowing grounds - trade-secret scenario,A geoscientist discovers that management is merely keeping company trade secrets confidential. Does that justify whistle-blowing? No.
card51,Officer starts a rival side-business,Whose interests must come first under fiduciary duty? The company's interests rank ahead of the officer's personal interests.
card52,Hiring a close relative with municipal grant money,Identify the conflicting interests and decide which one (the public's) must take precedence before acting.
card53,Duty to consult and accommodate Indigenous peoples,Who carries the Supreme-Court-mandated duty? The government (Crown) — even when the claim has not yet been proven.
card54,Tendering law (Ron Engineering): what is Contract A?,A bidding contract formed with every compliant bidder once their tender is submitted.
card55,Legal doctrine that says land-sale agreements must be in writing,"Statute of Frauds.

The Statute of Frauds is a rule that says agreements to sell land must be written down to be legally valid. You can’t just rely on verbal promises when it comes to selling or buying land. If it’s not in writing, the deal usually won’t hold up in court. This protects people from fraud or confusion. It’s a way to make land deals clear and official.

Example:

Mark tells Lisa he’ll sell her a piece of land for $50,000, and she agrees—but they don’t write anything down. Later, Mark changes his mind. Because there’s no written contract, Lisa probably can’t force the sale. If they had written and signed an agreement, the Statute of Frauds would make it enforceable."
card56,Engineers Canada Code of Ethics,What must you provide for subordinates? Opportunities for their professional development.
card57,Insurance nickname that protects professionals,Errors & Omissions (E&O) insurance.
card58,2004 amendment that made workplace-safety violations potentially a criminal offence,The Criminal Code was amended to impose criminal liability on those who direct work but fail to protect workers/public.
card59,Which of these is not a universal level of environmental regulation?,"The Canada National Parks Act (it's federal only; EAs, offences & emissions rules exist at all levels)."
card60,Post-2020 trade pact replacing NAFTA & its effect on engineering credentials,CUSMA (formerly NAFTA); regulators may recognize foreign qualifications but are not obliged to.
card61,Turning a filed lien claim into an enforceable charge,Process is called 'perfecting the lien.'
card62,Negligent-misrepresentation suits - strongest defence when claimant would have acted the same anyway,"Lack of causation (no reliance): if the plaintiff was already committed to the course of action, the misstatement did not cause the loss."
card63,Rule from Rylands v Fletcher - strict liability,Injured party need not prove negligence once the non-natural use of land causes escape and damage.
card64,What question does the reasonable person test ask? And for which cases this test is being used?,"Asks 'What would a reasonable person have done in the same circumstances?'

The reasonable person test is used in negligence cases to see if someone acted carefully enough.
It asks, “What would an average, careful person have done in the same situation?”
If the person didn’t act like that, they may be found negligent.

Example

A store owner doesn’t clean up a spilled drink, and a customer slips.
A court asks: Would a reasonable person have cleaned the spill quickly to prevent danger?
If yes, and the owner didn’t, that’s likely negligence.
The test helps decide if someone’s behavior was careless or acceptable."
card65,"Joint liability, one defendant bankrupt - who pays?","The solvent defendant may be forced to pay 100 % of the damages, then seek (often futile) contribution from the defunct party."
card66,"Large, controversial projects (e.g., inter-provincial pipeline): likely federal EA review types",Mediation or Panel Review under the Impact Assessment Act/CEAA.
card67,Corporate environmental audit - which benefit is NOT provided?,It does not grant a tax break simply for undertaking the audit.
card68,"Phase III Environmental Site Assessment (ESA): What does it deliver, and what does it NOT repeat?","Delivers: a remediation plan, detailed description of contaminants, and how we’ll check if it worked (with confirmatory sampling). 
Does NOT repeat Phase I historical-title/previous-owner/neighbour information. 
ESA = Environmental Site Assessment. "
card69,Strict-liability environmental offences - weakest due-diligence proof,Merely having a paper policy (with no evidence of implementation/monitoring) rarely satisfies due diligence.
card70,Contract with a mandatory arbitration clause - can a party refuse and litigate instead?,"No. Once signed, parties are bound; the court can even appoint an arbitrator if they cannot agree.

If you sign a contract with a mandatory arbitration clause, you can’t choose to go to court instead. You’ve already agreed to solve disputes through arbitration only. Even if both parties can’t pick an arbitrator, a court will assign one for them. So, once it’s signed, you’re stuck with arbitration. The court won’t let you skip it and sue instead.

Example:

Emma signs a contract to work on a project. It says all disputes must go to arbitration. Later, there's a disagreement, and Emma tries to sue the company in court. The court refuses because of the mandatory arbitration clause. Even if Emma and the company can’t agree on who should arbitrate, the court will pick someone. She must go through arbitration."
card71,"In Alternative Dispute Resolution (ADR), what is “negotiation” and is the outcome enforceable?","Negotiation = direct discussion/compromise between the parties (no third party). If they reach agreement and sign it, it becomes an enforceable contract."
card72,PIPEDA data-collection principle that is NOT in the Act,"No rule limiting use to one year; PIPEDA requires purpose identification, consent, access, safeguards, etc., but sets no fixed time-limit."
card73,"Harris, Pritchard & Rabins ""Golden Rule"" for engineers abroad - which action is not one of the nine ethical guidelines?","""Paternalize local citizens."" Professionals should not impose their own choices on local people."
card74,Cutting an employee's salary 20 % without consent is treated as what kind of termination?,"Constructive dismissal - employee may treat contract as terminated and sue for severance/notice.

If a boss cuts someone’s salary by 20% without asking, that’s called constructive dismissal. Even though the person wasn’t directly fired, the change is so serious that the law sees it as a forced resignation. The employee can then quit and sue the employer as if they were fired. They may get severance pay or notice. It's like being pushed out without being told outright.
Example:

John’s boss suddenly cuts his salary from $60,000 to $48,000 without asking. John quits because he can’t accept that pay cut. Even though he resigned, the law sees it as if he was forced out. That’s constructive dismissal. Now, John can take legal action to get severance pay or notice compensation."
card75,Quebec Civil Code - UNtrue statement about contract interpretation,"Strict, literal wording overrides common intention → UNTRUE. Code says common intention prevails over literal text."
card76,One of the four elements of fraudulent misrepresentation,Defendant intended that the plaintiff rely on the false statement.
card77,Waiver & estoppel,Owner's conduct waived the written-approval clause; contract is not voided.
card78,"Conditions for voiding a contract for mutual mistake

(To Void a contract means to cancel or make a contract no longer legally binding. And, Mutual mistake means When both sides of a contract are wrong about the same important fact.)","1) Significant impact on performance/cost 2) Both parties shared the mistaken assumption 3) Mistake existed when contract formed.

Imagine two people make a deal to sell a rare painting they both think is real. Later, they find out it’s a fake. The price they agreed on doesn’t make sense anymore. Since they both believed it was real when they made the contract, and that belief seriously affected the value, the contract can be voided. It’s like saying, “We were both wrong, so let’s undo the deal.”"
card79,Application of Canadian common law in Québec,"In matters of federal jurisdiction (e.g., criminal law, patents, Admiralty)."
card80,"Clauses in multi-jurisdiction contracts.

(Multi-jurisdiction means Involving more than one country or state in legal matters.)",1) Governing-law clause (which jurisdiction's law applies) 2) Forum/venue clause (which courts will hear any dispute).
card81,Element of fraudulent misrepresentation,Defendant intended that the plaintiff rely on the false statement.
card82,Verbal owner approvals and contract survival,Waiver & estoppel - owner's conduct waived the written-approval clause; contract is not voided.
card83,What is a passing-off action?,"You must have a trademark (registered or common-law) that the public associates with your goods/services; mere similarity of un-trademarked trade names is not enough.

A passing-off action is when you sue someone for pretending to be your brand.
To win, you must prove you have a trademark (official or based on long-time use) that the public recognizes.
Just having a name that’s similar isn’t enough if you haven’t built a clear connection to it.

Example

You’ve run ""Bella Bean Coffee"" for 10 years, and locals know your name and logo.
Someone opens “Bella’s Beans” nearby with similar colors and fonts.
If you have a trademark, or the public already links your name to your business, you can sue for passing off.
But if your name isn’t well-known or protected, you likely won’t win just because it “sounds similar.”"
card84,Is the Criminal Code part of the Canadian Constitution?,"No — it is a separate federal statute.


Think of the Constitution as the “rules of the entire game.”

The Canadian Constitution is the highest law in the whole country.
It tells us:

• how the government works
• what powers each level of government has
• your fundamental rights (like freedom of expression, equality rights)

This stuff is permanent, foundational, and hard to change.

The Criminal Code is just one law — a very big law — created by Parliament under the powers the Constitution grants.

It lists crimes and punishments.
Assault, fraud, theft, harassment, homicide — they all live there.

But the Criminal Code depends on the Constitution to exist.

Because the Constitution is supreme.
If part of the Criminal Code violates the Constitution, the courts can strike it down.

Example:
Let’s say you and I are playing soccer.

The Constitution = the official FIFA rules
(they define what soccer is, who can do what, and what limits exist)

The Criminal Code = your coach giving you team rules
(“Nima, don’t slide tackle from behind,”
“Nima, no fighting the referee,”
“Nima, if you kick someone in the face, you get benched.”)

The coach’s rules matter…
…but if the coach makes a rule that breaks FIFA rules, it gets thrown out.

Same thing:
Criminal Code must obey the Constitution.
Because the Constitution is the foundation — the sport itself.



"
card85,"What is the only defence to a strict-liability environmental offence?

(A strict-liability offence means you can be legally punished just for doing something wrong, even if you didn’t mean to. It doesn’t matter if it was an accident — if the law was broken, you're responsible. However, you can defend yourself by proving due diligence (you tried your best to follow the rules).",Due diligence - you must prove you took all reasonable steps to obey the law and prevent harm.(due diligence = reasonable effort)
card86,What is Contra proferentem rule? ,"An ambiguous clause is read against the drafter and in favour of the other party.

If a contract has a confusing part, it will be interpreted against the person who wrote it.
This rule helps protect the other person, who didn’t create the unclear wording.
It encourages drafters to write clear and fair contracts.
So, if you’re the one writing, be careful—vague terms can backfire.
This rule is called ""contra proferentem"" and it favors the non-drafting side.

3) Example

Imagine a company writes a contract that says, “Service will be available in the evening,” but doesn’t define what “evening” means.
If a customer later complains that service wasn’t available at 6 PM, the court may side with the customer.
Why? Because the company wrote the contract and left it unclear.
So, the unclear term is used against the company.
This rule motivates people to be clear and precise when drafting contracts.
It’s about fairness and clarity."
card87,"Who can file a construction/builders' lien in Canada?
(Lien - a legal claim on property used as security for payment of a debt.)","Any party who improved the property - contractor, subcontractor, supplier, or professional - may register a lien for unpaid work or materials."
card88,Duress in contract signing,Contracts signed under duress can be set aside.
card89,Basic test items a plaintiff must prove in a negligence suit,"Need duty of care, breach, and causation of damage - a contract between parties is NOT required."
card90,Key elements that keep international contracts out of 'conflict-of-laws' trouble,Include a governing-law clause and a forum clause naming which court will hear any dispute.
card91,Tort claim without a contract,A claim in negligence - duty of care exists even without a contract.
card92,Unregistered trademark rights,Under common-law you gain unregistered (common-law) trademark rights through continued public use.
card93,Project delivery method without a general contractor,Called Construction Management (owner + construction manager + separate trade contracts).
card94,What is the purpose of a comparative-negligence clause in a contract?,"To fairly divide financial responsibility according to each party’s level of fault.

Example: 

Imagine a delivery company crashes into a store’s wall, but the store didn’t follow safety rules either. A comparative-negligence clause says the delivery driver is 70% at fault, and the store is 30% at fault. So, if damages cost $10,000, the driver (or their company) pays $7,000 and the store pays $3,000. Without this clause, one side might have to pay for everything, even if both were careless. This way, blame is shared fairly."
card95,"If a supplier isn’t paid by a broke contractor, what legal remedy can they use to try to get paid?

(Filing a lien means Legally claiming a right to someone’s property because you weren’t paid.)",Supplier unpaid for materials can't collect from broke contractor can still file a lien against the owner's property for the value supplied.
card96,"What's the primary purpose of intellectual property (IP) law?

(IP law = rules governing patents, copyrights, trademarks, etc.)","To encourage creativity by protecting creators' rights and providing a fair, organized way to share and license ideas.

• E.g., copyright lets authors control and license books, so they're paid when others use their work."
card97,How are workers' compensation insurance premiums calculated?,"Premiums are charged per employee and then adjusted by a risk rate reflecting the employer's industry hazard level.

• Higher-risk industries (e.g., construction) have higher rate multipliers.


Example: A construction firm (high-risk) with 10 employees and a rate of $2 per employee pays 10 × $2 = $20.

Notes:
Premium: the insurance cost you pay.
Risk rate: a multiplier based on how hazardous the work is."
card98,Investigation of new matters,Most Acts let the panel investigate any new matters that arise during the investigation.
card99,"Under APEGA's six CPD categories, mentoring a Member-in-Training (MIT) falls under which category, and what does that involve?","Participation
• Involves interactive activities—guiding, coaching or collaborating with others.
• Example: Pairing with an MIT on a real project, reviewing their work and offering feedback.

CPD (Continuing Professional Development): ongoing learning to maintain competenceMIT (Member-in-Training): someone gaining required work experience under supervision"
card100,Investigative Committee-What is the role of the Investigative Committee?,"The Investigative Committee gathers facts, reviews evidence and witness statements, and recommends charges if there's sufficient cause.

Example: After a safety complaint, the committee interviews employees, examines site records, and suggests whether the engineer should face a formal discipline hearing.

Difficult word:Recommend: to formally suggest a course of action."
card101,"Which sanction is NOT normally used by professional Discipline Committees?
Revocation
Suspension
Fine
Community service

(Sanction: an official penalty or disciplinary measure.)","Community service: Professional regulators impose fines, suspensions, license revocations or terms/conditions—but do not order community service (that's a criminal court penalty).

Example: An engineer found guilty might be fined or temporarily forbidden to practice, but won't be told to ""volunteer at a food bank"" as part of their discipline."
card102,Investigation committee dropping a complaint,If the claim is frivolous (trivial / no merit) or vexatious (meant to harass or annoy).
card103,"Key PRB check for licence reinstatement

(PRB = Practice Review Board - the committee that audits returning or practising members' competence;

Reinstatement = restoring a lapsed or inactive licence so you can practise again)","They verify whether the profession's standard of practice changed during the time you were not practising.Example: If you stopped working in 2015 and new building codes came into effect in 2018, the PRB will check that you're up to date before restoring your licence."
card104,Arbitration mean A legal process where a neutral third person (arbitrator) decides a dispute instead of going to court. Arbitration chosen after a dispute begins is called ________.,"Voluntary binding arbitration.

(Voluntary binding arbitration means both sides agree after a problem starts to let an arbitrator decide, and they promise to follow that decision.)"
card105,Trust provision,funds received must be held in trust for subcontractors/suppliers.
card106,"What is a descriptive mark, and is it protectable?","A descriptive mark directly describes the goods/services and is not registrable/protectable as a trademark (e.g., “gelato” for ice cream). "
card107,Industrial design,protected look/ornamentation of a manufactured item.
card108,Learned intermediary,a professional positioned between maker and consumer who must give warnings.
card109,Innocent misrepresentation,"false statement honestly believed by the seller; remedy is rescission (contract cancelled), no damages."
card110,"A contractor didn't do what they supposed to do. Who steps in under the bond, and up to what dollar limit?

(A surety is like a co-signer who is on the hook from day one — if the main person fails, the surety must pay right away. A guarantor, on the other hand, is more like a backup — they only have to pay if the original person didn’t do their job first. So, the surety is equally responsible, while the guarantor is second in line.)","The surety (third-party guarantor) steps in, up to the bond’s face value (the capped amount the surety is liable for). "
card111,Biggest disadvantage of a sole proprietorship,"Unlimited personal liability for debts and lawsuits.

In a sole proprietorship, the owner is the same as the business. If the business owes money or gets sued, the owner has to pay with their own money. This means they could lose personal things like their car, house, or savings. This is called unlimited personal liability, and it's the biggest risk of running a business alone. There's no legal protection for the owner's personal property.

Example:

Maria owns a bakery by herself. One day, a customer sues her because they got sick from her food. The court says Maria has to pay $100,000. But her bakery only has $20,000. Because of unlimited personal liability, Maria must pay the rest—$80,000—from her personal savings or even by selling her car or house."
card112,Key element court needs for tort compensation,Defendant caused actual injury or loss to plaintiff.
card113,Termination without notice - invalid reason,Maternity leave - firing for pregnancy/leave is prohibited; must provide notice/severance.
card114,What is vicarious liability?,"Definition: When an employer is held legally responsible for a wrongful act committed by an employee in the course of their employment.

(Wrongful = improper or against the law)

Example: A delivery driver negligently causes a collision while making company deliveries. The employer can be sued for damages under vicarious liability."
card115,Copyright ownership when contract is silent,The engineer (author) keeps copyright; employer owns only normal 'work product' unless agreed otherwise.
card116,Letter of intent (LOI),'It slows the construction process' - actually used to start work quickly while full contract is finalized.
card117,Trust provision in lien law,Forces a contractor to use owner's money first to pay subcontractors/suppliers before anything else.
card118,Extra indemnity taken by surety,Often takes it from the company's shareholders (they sign personal guarantees).
card119,Payment-bond Mr Baker should require from subs,Labour & material payment bond - ensures lower-tier parties get paid.
card120,Type of bond guaranteeing a contractor's completion performance,"Surety cannot make owner pay the difference; if new bid is higher, surety pays (up to bond value)."
card121,Item that is NOT a branch of law,"Subrogation - it's a reimbursement mechanism, not a legal field."
card122,Situation least likely to trigger a complaint to an engineering regulator,Charging slightly higher fees than competitors - pricing alone rarely breaches the Act.
card123,Why taking part in technical societies supports your career,"It reinforces professionalism - keeps knowledge current, encourages ethics, raises the profession's image."
card124,Engineers Canada,Promotes national consistency in licensing & regulation among provincial/territorial associations.
card125,Exclusive scope of practice,No one may perform that professional work unless licensed by the regulator.
card126,Core elements of Canadian self-regulated professions,The exclusive right to title (P.Eng./P.Geo.) and the exclusive scope of practice they alone may perform.
card127,Illegal practice start,At the initial inspection acting as an engineer (even before stamping); all later actions also illegal.
card128,Public-safety risk of unregulated people,"They don't follow a Code of Ethics, can't be investigated or disciplined, and usually carry no professional liability insurance."
card129,Work-experience record evaluation,Have your work-experience record formally evaluated by the association.
card130,Most-weighted competency,1️⃣ Application of theory 2️⃣ Practical experience.
card131,Permit to Practice / Certificate of Authorization,Firm must name a supervising P.Eng./P.Geo. and carry liability insurance.
card132,"When can disability be a lawful ground for discrimination?

(Ground (in law) means A reason or basis for taking legal action or making a legal decision.)","Disability - if the job's bona-fide requirements can't be met even with accommodation.

Example: A fire department needs firefighters to carry heavy equipment. Someone with a disability applies but can’t meet that physical requirement, even with special tools or modified duties.
Since lifting is a core part of the job, the department can lawfully reject the applicant.
This is discrimination, but it's allowed because the job has a bona-fide need.

(A bona-fide need is something that’s truly required, not just a preference. In jobs, it means a task or skill that is so important that the job can’t be done without it. It must be fair, necessary, and not made up to exclude people.)

(Accommodation means Adjustments or changes made to help someone with a disability do their job.)"
card133,Construction-management delivery,Cuts out the general-contractor profit; owner contracts directly with trades; CM only manages.
card134,Unionize,"Workers organize for collective bargaining, often indicating employer's failure in fair pay/negotiation."
card135,Limited Licence,"A technologist/science-diploma holder with focused experience (≥8 yrs, incl. 1 yr in CA & 2 yrs under P.Eng.) qualifies."
card136,Scope of practice vs. scope of responsibility,Discuss your scope of responsibility - the exact tasks & expectations you'll be accountable for.
card137,Unregulated practice safety risks,"Completion itself doesn't threaten safety; lack of ethics, competence, & insurance do."
card138,Owner's perk in construction management,"General-contractor profit is avoided; owner hires trades directly, CM just manages."
card139,"Under most Canadian professional practice Acts, a firm may include the protected title *""Engineer"" or ""Architect"" in its name only if licensed ______________ are (1) ______________ in the firm and* (2) hold a significant ______________/______________ role (e.g., partner or shareholder).",professionals of that discipline · actively involved · ownership · governance
card140,Property insurance would cover damage from fire or ________.,theft 
card141,Possible disciplinary measures include ________ or license cancellation.,suspension
card142,Examples of Tort,"Example: Imagine Alex, an engineer, lies about a bridge's safety to win a contract—this fraud is an intentional tort. If Alex also walks onto a restricted construction site without permission, that's trespass. Later, Alex tells clients that another engineer is incompetent even though it isn't true; that's defamation. Each of these deliberate actions can lead the injured parties to sue Alex for damages under tort law. If Alex had simply mis-calculated a load because of sloppy math, that would be negligence, not an intentional tort."
card143,What event led provinces to pass the first Acts to license professional engineers in Canada?,The Quebec Bridge collapses of 1907 and 1916; provinces responded by passing the first Professional Engineers Acts. 
card144,What does a Letter of Assurance certify and when is it required?,At project end; certifies the building was constructed according to all sealed plans & specifications.
card145,Thorough review before sealing another engineer's work,Review until you can personally accept full professional responsibility.
card146,Ownership requirement for 'Engineers & Architects',Licensed architects must be partners or shareholders as well as engineers.
card147,Accreditors of Canadian engineering and geoscience degree programs,Engineers Canada and the Canadian Council of Professional Geoscientists (CCPG) accredit these programs.
card148,Significance of wearing an iron (or earth-science) ring,The wearer has taken an oath to uphold high professional and ethical standards.
card149,Treatment of draft or preliminary engineering documents,Do not seal them and clearly label them 'Preliminary / Not for Construction'.
card150,Worker's 'right to participate' under OHS legislation,Allows serving on workplace health-and-safety committees to improve safety.
card151,Recommended strategy to avoid 'old-method vs new-method' dilemma,Continuing Professional Development (CPD) is the single recommended strategy.
card152,Which code takes precedence if a technical-society code conflicts with a provincial code?,"The provincial/territorial association’s Code of Ethics prevails.

If a national or technical group’s rules disagree with your local (provincial or territorial) ethics rules, you must follow the local code. That’s because the provincial code has legal authority in that region. Even if the technical society is well-known, its rules are secondary. Local rules override the others when they conflict. Always follow the provincial association’s Code of Ethics first.

Example:

Imagine you're an engineer in Alberta and follow both Engineers Canada’s and IEEE’s rules. If IEEE says it’s okay to accept gifts from clients but Alberta’s code says no gifts allowed, you must follow Alberta’s rule. Even though IEEE is a respected technical society, Alberta’s code is the law in your province. So the local rule wins in a conflict."
card153,Site coordinator responsibility on large Alberta construction site,Must protect all workers on site and anyone in the vicinity affected by site hazards.
card154,Difference between 'environmental compliance' and 'sustainability',"Compliance = day-to-day legal minimum; sustainability = long-term strategy.

Environmental compliance is doing the required legal minimum each day to avoid violations.
Sustainability is a bigger, long-term plan to improve environmental and social outcomes.
Compliance = reactive (follow rules); sustainability = proactive (set goals, innovate).
Compliance answers “Are we legal?”; sustainability asks “Are we responsible and future-proof?”
You need compliance now, but sustainability guides the future.

3) Example

A factory installs filters to meet air emission limits — that’s compliance.
It then sets a goal to cut GHG emissions 50% by 2030, invests in renewables, and redesigns packaging — that’s sustainability.
Compliance prevents fines; sustainability earns trust and saves resources.
Compliance is checklists and permits; sustainability is targets and innovation.
Both matter, but they play different roles."
card155,What is a Life-Cycle Analysis (LCA) inventory?,"Judges a project's sustainability by listing all energy & resource inputs and all outputs (products & wastes) to determine the net result (overall environmental impact).

Inventory: a detailed list of items analyzed."
card156,CPD-exemption request routinely accepted by Canadian associations,"Parental leave (temporary exemption, CPD resumes on return)."
card157,What's the difference between enforcement and discipline in engineering regulation?,"Enforcement: Actions taken against non-members (unlicensed individuals) who unlawfully use protected titles or practise without authorization. Ensures only qualified persons offer engineering services.
Discipline: Actions taken against licensed members found guilty of professional misconduct or incompetence. May include fines, practice restrictions, suspension, or revocation of licence."
card158,Not a Canadian achievement,Luna 3 moon-photography probe (it was Soviet).
card159,Professional engineer's rubber stamp identifiers,Province/territory · Licence type · Name of licence holder · Licence number.
card160,What seals are required on a final engineering drawing?,"One professional seal for each discipline involved (e.g., structural, electrical) + the approving engineer's seal.Discipline: area of expertise (e.g., civil, mechanical)."
card161,Self-regulating profession in Canadian law,A provincial/territorial Act creates an association that regulates the profession itself.
card162,Ethical theories,"Mill's utilitarianism, Kant's formalism, Locke's rights ethics, Aristotle's virtue ethics."
card163,Duty that outranks all others,Duty to protect the public.
card164,What is the key lesson from the Elliot Lake mall collapse?,It highlights human error and a failure of the engineer's duty to society (public safety).
card165,Professional decisions according to the Charter,Independent of religious influence (state neutrality).
card166,Copying unregistered software in Canada,Copyright is automatic upon creation; registration is optional.
